video_id,age,category,views,rate
XPsbyjMz5U4,520.0,Music,7109.0,4.96
cqufvMGM1OU,745.0,Music,40.0,0.0
vDWqBOODp24,703.0,Music,259.0,5.0
oVn8OGH5eRQ,558.0,Music,17091.0,4.72
RWE-Nx68lJE,384.0,Comedy,9780.0,4.58
LBKeYAwuSiI,373.0,Comedy,12332.0,4.88
O0ixVSI7gRQ,658.0,Music,1356.0,5.0
RS7xoAjlnow,370.0,Music,9814.0,4.75
etCwtAOIk5k,612.0,Music,4549.0,3.82
tbvFPxoxqkw,724.0,Comedy,266.0,5.0
r7o66W0xvCg,504.0,Music,10473.0,4.87
DOdkqr1HbIc,708.0,Comedy,4809.0,4.43
2MlfNmtXF1k,725.0,Comedy,197.0,0.0
qzQ54x0B36Q,739.0,Comedy,328.0,5.0
RmxoY4toqIw,653.0,Comedy,524.0,3.0
qzWmwlaf1Ws,617.0,Comedy,226.0,3.5
2SCK4tDZ8Lk,612.0,Comedy,1171.0,0.0
IpUCU-cV4zs,720.0,Comedy,185.0,5.0
NBfoWN_w32U,595.0,Comedy,3875.0,0.0
QguVjUzdXcI,582.0,Comedy,6119.0,3.48
76Y2AhUgxM8,619.0,Comedy,5210.0,5.0
r4RQ8k9MT6s,613.0,Comedy,1604.0,5.0
MAmMFzdrrOk,672.0,Comedy,2137.0,5.0
p4WEaUK6wsM,667.0,Comedy,458.0,5.0
eXpSWDfW76c,711.0,Comedy,161.0,0.0
WadTGi9n3SY,696.0,Comedy,1326.0,5.0
D0kDNqOGmPA,587.0,Comedy,1328.0,5.0
ZYcrX-ujqt8,649.0,Music,5613.0,3.86
d1TWVakI_jQ,632.0,Comedy,1204.0,4.0
CxYsAxyWDbk,663.0,Comedy,1074.0,5.0
_ZfncI7Pffw,674.0,Comedy,2414.0,0.0
vnMjFMc_0FU,577.0,Comedy,1084.0,5.0
YR59uVHe9VM,670.0,Music,1158.0,4.5
sH4j_7EDEG8,644.0,Comedy,253.0,2.0
FWlxh-ofEiA,625.0,Music,1373.0,5.0
JazdePe3UhI,739.0,Music,509.0,3.67
VMnt3zeMPaA,336.0,Music,7094.0,4.12
PM_cSDtcY-A,625.0,Music,1275.0,4.89
6tPNPixo7QQ,624.0,Music,3161.0,5.0
s9qME_aDBjA,739.0,Music,1538.0,5.0
UicnNTq_fuc,738.0,Music,271.0,5.0
L-BU9PiemTg,738.0,Music,1433.0,4.5
e2gw2hQkoPQ,347.0,Music,1528.0,4.62
-DMhU-Yi-Wo,440.0,Music,1513.0,4.0
UTLg9itkGhs,495.0,Music,1613.0,5.0
f9taERBHFWc,629.0,Music,3882.0,5.0
kVWNKwN6Ta8,486.0,Music,5650.0,4.83
6XrRHEvQpyA,537.0,Music,699.0,4.33
QEEFPT1j_fU,518.0,Music,399.0,5.0
qcV8ukxpRzc,647.0,Music,718.0,4.25
suXeedm3Uog,740.0,Music,142.0,3.75
I8VhLSCJ8Vs,737.0,Music,33.0,0.0
5-gUOYLBe9Y,577.0,Music,192.0,5.0
G_7TwlxuY7I,737.0,Music,56.0,5.0
nigmi8ZuqL8,626.0,Music,412.0,4.5
n_3ZxQSfmHs,674.0,Music,662.0,4.57
ohyNbHddCwE,739.0,Music,36.0,0.0
SBL5Xyv9t_E,717.0,Music,30.0,0.0
jpkXztp3F-U,735.0,Music,9.0,0.0
ICiq05I5b3s,524.0,Music,830.0,5.0
ahwADHXwXJc,340.0,Music,7718.0,4.92
D0cZr08N_ow,550.0,Music,541.0,4.9
9oWuqzLyYU0,726.0,Music,328.0,5.0
HhrGSUClcSo,690.0,Music,434.0,5.0
CSVeGWBWap0,572.0,Music,499.0,4.8
D37Sgjx6x5A,571.0,Music,919.0,4.33
YzfgcuGDP_8,722.0,Music,156.0,5.0
wTzgpbEEImw,590.0,Music,487.0,2.6
P1N1-Kwi7wI,469.0,Music,616.0,5.0
FGAUw1j4CUU,604.0,Music,205.0,5.0
pPQNNn2YaW8,736.0,Music,31.0,0.0
8cw6fQ3GPqU,604.0,Music,132.0,0.0
vAwvDAy8eNs,696.0,Music,1089.0,4.0
_S8bfRYREmM,622.0,Comedy,141.0,0.0
U5XPQlGX_Qc,746.0,Music,15.0,5.0
RktXFYeZXGA,549.0,Music,7158.0,4.39
wInlDnfylmk,632.0,Music,2902.0,4.88
0U8p7n84dl8,340.0,Music,9886.0,4.78
ywpZJyF2Tp0,419.0,Music,6686.0,4.25
P1JK1F5RRmA,497.0,Music,3000.0,4.98
0a60ctwwgHQ,577.0,Music,354.0,5.0
UYPGyooP8t8,590.0,Music,843.0,3.57
UopFosjudDw,572.0,Music,739.0,4.86
GrtOqJkcRZM,738.0,Music,77.0,5.0
DRKErmz_gRQ,662.0,Music,146.0,3.67
WNCOkSKfGH4,492.0,Music,514.0,1.0
NYQlauNJ1Is,341.0,Comedy,656.0,0.0
tXELEyRl8ZI,547.0,Music,6131.0,4.0
LX_5QLZnuVo,558.0,Music,5787.0,4.59
bA81n7Djac8,641.0,Music,1226.0,4.86
wD4XcN0Avr0,357.0,Music,9021.0,4.87
Qxiz-hVxNuA,518.0,Music,689.0,5.0
6IagvQ7ajFY,683.0,Music,527.0,4.8
9q8aX_sP_rg,625.0,Music,616.0,4.75
9JijnO6qEt4,530.0,Music,1465.0,3.56
EfWjWbEYK_8,669.0,Music,581.0,5.0
EEcf3Xcgly8,694.0,Music,242.0,0.0
GaMljZ8end0,596.0,Music,193.0,0.0
Azdr6oBKwmg,484.0,Music,123.0,5.0
CfCPei3w5k0,626.0,Music,186.0,0.0
5sDSLfkoZ2A,714.0,Music,107.0,0.0
A4JonLc-D3s,636.0,Music,114.0,0.0
c5OiwbF2knU,521.0,Music,8026.0,4.58
4dzT9DgLCJU,502.0,Music,1571.0,4.77
NU3VElsIkas,537.0,Music,1108.0,4.86
Sg7_jZdKMeo,537.0,Music,641.0,4.8
7GngQUz0PHw,486.0,Music,5432.0,4.33
oGkWnr9insM,561.0,Comedy,1337.0,5.0
gFFBj71g1lQ,686.0,Music,471.0,3.0
DdkwsmYZLIw,650.0,Music,1849.0,4.7
6uOHCRL9vkk,330.0,Music,7131.0,4.72
y0FDSoGZ804,497.0,Music,467.0,0.0
8SdpOhwPvw8,569.0,Music,357.0,5.0
AUklQBQp6D0,488.0,Music,284.0,1.0
kkhFvSjoI3Y,738.0,Music,100.0,5.0
zh81yg_caIU,497.0,Music,373.0,0.0
uBTu-_cAC68,534.0,Music,7795.0,4.82
c7nZ3VwQtgA,585.0,Music,724.0,5.0
6zo3tIppP0o,630.0,Music,975.0,5.0
HZ3wm1DhnpI,704.0,Music,787.0,4.17
kteSXjzPSYA,696.0,Music,1238.0,5.0
DVJqxXoiLek,680.0,Music,1084.0,5.0
0wCA0VPWpwc,723.0,Music,525.0,5.0
0QmImEKGRYk,630.0,Music,314.0,5.0
FQnCpHWCkjA,725.0,Music,75.0,0.0
mF_jiItvYl4,636.0,Music,2082.0,4.62
G3BMzKrRYg0,743.0,Music,93.0,5.0
xPx3V53U8oQ,642.0,Music,716.0,4.86
lTHpJwVTDoQ,640.0,Music,890.0,5.0
vFSzivjAM0k,523.0,Music,1492.0,4.86
nUKj-2hBiWs,602.0,Music,1861.0,5.0
6nkOHUiBvZw,740.0,Music,139.0,0.0
9nUXdL6e5UY,607.0,Music,161.0,0.0
i_KcSuLk_hU,311.0,Music,20502.0,4.84
aVtFH7a0lAQ,743.0,Music,84.0,0.0
YuIQ0bjqkOw,694.0,Music,24.0,0.0
xyuiukCepe0,703.0,Music,166.0,3.0
iIWOtxmWyoA,631.0,Comedy,1182.0,4.67
n8XTICtuNWo,631.0,Comedy,1607.0,5.0
4YpOSOATzNU,355.0,Music,434.0,0.0
ReXMntZTeJc,471.0,Music,309.0,3.5
pbEicdr2pQU,557.0,Music,274.0,0.0
5Bp11XkwUgo,564.0,Comedy,385.0,5.0
kubjHOt4BZo,633.0,Music,176.0,5.0
qBi5oIm8kXc,575.0,Comedy,3898.0,5.0
RUzRLMcBYQQ,502.0,Comedy,4727.0,4.29
L_QOxxvIDeI,505.0,Comedy,51341.0,3.61
bAK0PYdZrho,509.0,Music,11705.0,5.0
bcql-8pYHNE,585.0,Music,20875.0,4.55
RVY9WNqqcQw,456.0,Comedy,91641.0,4.91
YejWqS0ufUQ,667.0,Music,6380.0,4.25
k8Oab8QAdDo,657.0,Comedy,2755.0,2.0
Ytyf8GH5S8s,433.0,Music,13603.0,4.89
b5uAUoNrrws,572.0,Comedy,322.0,0.0
QFwgKzi94DM,385.0,Comedy,6895.0,4.41
5GSs7ROTAsQ,715.0,Comedy,62.0,0.0
AKuqD47_aB4,443.0,Comedy,75.0,0.0
Jh5vs0E7AAs,541.0,Music,2682.0,4.73
AgdKGIAiBYE,687.0,Music,314.0,5.0
scTFsGQ78qs,647.0,Comedy,69.0,5.0
BU5R3J-nOZA,492.0,Comedy,179.0,5.0
xtjnF6HXds4,592.0,Comedy,53.0,5.0
GdDxz2bkfhE,738.0,Music,3622.0,4.5
Vd34vJohGXc,738.0,Music,640.0,5.0
IUW8Hz-gbpg,738.0,Music,755.0,5.0
_k859aI9x4I,738.0,Music,473.0,4.6
v5DZWLhWCeM,738.0,Music,347.0,5.0
tRNgMPUZ6zg,738.0,Music,155.0,0.0
gmJ-kt5399Y,738.0,Music,354.0,5.0
Avh8GCW666U,738.0,Music,359.0,5.0
xhUx3ENL-RQ,738.0,Music,992.0,4.43
RZsMpwxElyw,738.0,Music,461.0,5.0
pcfv_AVofpA,738.0,Music,886.0,5.0
FE3B6vfT4q8,738.0,Music,113.0,5.0
NM-bbQAuSpw,738.0,Music,84.0,0.0
lr7JBDhlE-4,738.0,Music,689.0,4.89
uPTsAOIJh6M,738.0,Music,143.0,5.0
Oz8ctHV3nwA,738.0,Music,473.0,4.83
hCfZbEZWAJA,738.0,Music,623.0,4.17
ZO3BKmWtots,738.0,Music,332.0,4.5
BJxLp8RDoXE,738.0,Music,83.0,0.0
kw2OrnluhVI,738.0,Music,114.0,4.5
ZZlylTeasGw,699.0,Comedy,141.0,5.0
eqD4Nl2gBCs,602.0,Comedy,291.0,5.0
57MkABOW3CY,531.0,Comedy,287.0,4.33
FPckqegpxGU,733.0,Comedy,1280.0,4.5
r9H5cipvle0,718.0,Comedy,102.0,5.0
hsk5rNFGBko,713.0,Music,2593.0,5.0
wYsImUhLW3w,738.0,Music,539.0,5.0
bGJjQlHbBYc,743.0,Music,4964.0,4.1
4TJPu1vzmsw,734.0,Music,38.0,0.0
aqED-79EUtQ,708.0,Music,443.0,5.0
GvcZSdctkTc,416.0,Comedy,9959.0,2.63
vDRtmtKrpsw,717.0,Music,74.0,5.0
0FGUaoA5lFw,712.0,Music,61.0,5.0
ELqGoTtQJU0,711.0,Music,49.0,5.0
EC7ax6t2aLs,556.0,Music,534.0,1.0
ZmzjfNxaRFw,596.0,Music,1476.0,3.0
8Ex8A6En6Zg,613.0,Music,334.0,4.5
SAPls4d_gD4,628.0,Music,163.0,0.0
G_izQvxNf5g,661.0,Comedy,661.0,5.0
TgTOHZUZu64,510.0,Music,2054.0,2.33
8hbUjqiRbMQ,469.0,Comedy,584.0,5.0
TMyf67qFSLE,672.0,Music,951.0,4.0
tsgtHf9Bewo,468.0,Music,52744.0,4.9
F8bMG1Btqk4,745.0,Comedy,4.0,0.0
7W9pQx2qmNI,681.0,Comedy,426.0,5.0
3EGl0S8Xp2Q,586.0,Comedy,154.0,1.0
H_KHi9J-7fc,707.0,Comedy,162.0,0.0
FZu4NJsvItU,592.0,Music,1052.0,4.47
G8Ionw-kK1g,639.0,Music,376.0,3.67
nWW7pm7W7mE,490.0,Music,6764.0,4.74
zu9_uJRVLLw,742.0,Music,829.0,4.81
gPWrQThXHNQ,406.0,Music,46669.0,4.87
VKdC--O3hnk,424.0,Music,84309.0,4.55
8HbwO00oEFs,450.0,Music,20470.0,4.69
Hp35eznisC8,549.0,Music,42777.0,4.92
fnl679pGyB0,569.0,Music,6005.0,4.44
YLYtXOaBwWU,541.0,Music,651.0,5.0
YlGC0MKewnc,497.0,Music,699.0,5.0
-F8uKqjaF2M,466.0,Music,1737.0,5.0
LsYgcHhW4Hs,589.0,Music,402.0,5.0
qqzp9aZkKQc,655.0,Music,301.0,3.0
xvlh30_OjBI,692.0,Music,318.0,0.0
AVh9GZoSayE,598.0,Music,52.0,0.0
eFLIpUWqq2U,605.0,Music,4177.0,5.0
eZPO-SG11zY,691.0,Music,517.0,5.0
qlTkLws4nBc,706.0,Music,200.0,5.0
8NferpHd1UU,620.0,Music,8445.0,3.94
3S3VyRO37L4,623.0,Music,4879.0,4.85
2d2b97habMs,618.0,Music,5544.0,4.92
5qfLAP7vSLw,613.0,Music,3066.0,4.5
N7Ivpp5cP6I,615.0,Music,3504.0,4.78
x4PfAhuTiUk,622.0,Music,2682.0,4.86
6f90Z3wV7ZQ,745.0,Music,12.0,0.0
lQiEqOtaD58,606.0,Music,5199.0,4.22
w0_GqXqP7js,607.0,Music,10602.0,4.73
GxKcWPZHbMw,605.0,Music,2565.0,3.38
643jLdgz0bc,465.0,Music,503.0,5.0
QGOJmTMhFSA,399.0,Music,1375.0,3.0
pBP2zJzL9-Q,363.0,Music,1174.0,4.5
3u4ST8jiF40,644.0,Music,27.0,0.0
cuSXdBbCWf4,448.0,Music,2225.0,2.08
hKmalQbjHXU,496.0,Comedy,1986.0,1.57
eUq5TS_qB-A,444.0,Comedy,446.0,4.43
8XaorkQO1Ys,702.0,Comedy,214.0,3.0
-BUH_MCjO9A,701.0,Music,53.0,0.0
9n4L5pDqBxY,519.0,Comedy,210.0,1.0
j2j6BtfJ30w,723.0,Comedy,70.0,5.0
CwuySrUuTSw,528.0,Comedy,417.0,0.0
vFmyL_Emks0,666.0,Comedy,110.0,0.0
xnOsbGKujyU,360.0,Comedy,123.0,0.0
xtj-6g4Lqno,653.0,Comedy,704.0,2.0
BRx8FKNrss0,655.0,Music,545.0,0.0
y8zaTwj9ONs,585.0,Music,976.0,5.0
ikcfXUegkGU,623.0,Music,890.0,3.33
LN_uME6qdKc,636.0,Music,432.0,5.0
PwszLuS9mHk,552.0,Music,535.0,3.67
qyajCx4YuSY,710.0,Music,66.0,0.0
PNv4H57nYQI,623.0,Music,854.0,5.0
P6huP9AsAbk,581.0,Music,766.0,4.0
uveaurh3mZs,552.0,Music,4944.0,2.29
DssaSouvHII,529.0,Music,1142.0,1.0
UcOERh2Dkhk,548.0,Music,524.0,0.0
JmCaeiyvki0,495.0,Music,150.0,0.0
4-6t1wTrhRk,725.0,Music,7.0,0.0
PRa-dQkLcQI,725.0,Music,6.0,0.0
7Mo62QXnhho,537.0,Music,550.0,5.0
AXuRi6_uG0g,502.0,Music,42.0,5.0
OCOtR81Hv2c,607.0,Music,278.0,5.0
9ck0G3KTI3I,601.0,Music,118.0,0.0
Uhbx8Wcbix4,711.0,Music,38.0,0.0
bDd6G5omghQ,458.0,Music,438.0,0.0
T_pPxoMjumA,334.0,Music,1028.0,4.8
aKfaaVUgpNE,726.0,Comedy,128.0,0.0
